Sigla,Resolução ANEEL,Início Vigência,Fim Vigência,Base Tarifária,Subgrupo,Modalidade,Classe,Subclasse,Detalhe,Acessante,Posto,Unidade,TUSD,TE
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,B2,Branca,Rural,Cooperativa de eletrificação rural,SCEE,Não se aplica,Intermediário,R$/MWh,"668,8","96,01"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,B2,Branca,Rural,Cooperativa de eletrificação rural,Não se aplica,Não se aplica,Ponta,R$/MWh,"929,25","520,04"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,B2,Branca,Rural,Cooperativa de eletrificação rural,Não se aplica,Não se aplica,Ponta,R$/MWh,"955,27","568,34"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,B2,Branca,Rural,Cooperativa de eletrificação rural,SCEE,Não se aplica,Ponta,R$/MWh,"929,25","47,08"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,B2,Branca,Rural,Cooperativa de eletrificação rural,SCEE,Não se aplica,Ponta,R$/MWh,"955,27","96,01"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,B2,Branca,Rural,Não se aplica,Não se aplica,Não se aplica,Fora ponta,R$/MWh,"383,32","322,05"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,B2,Branca,Rural,Não se aplica,Não se aplica,Não se aplica,Fora ponta,R$/MWh,"382,34","370,62"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,B2,Branca,Rural,Não se aplica,SCEE,Não se aplica,Fora ponta,R$/MWh,"383,32","47,08"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,B2,Branca,Rural,Não se aplica,SCEE,Não se aplica,Fora ponta,R$/MWh,"382,34","96,01"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,B2,Branca,Rural,Não se aplica,Não se aplica,Não se aplica,Intermediário,R$/MWh,"656,29","322,05"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,B2,Branca,Rural,Não se aplica,Não se aplica,Não se aplica,Intermediário,R$/MWh,"668,8","370,62"
